,covariate,beta,seed,split_itr,est_ate,smp_ate,(est_ate-smp_ate)^2,abs(est_ate-smp_ate)
0,covariateregistration,beta1100.0,seed3,0.0,28.429660922324096,1.0,752.3862983136736,27.429660922324096
1,covariateregistration,beta1100.0,seed3,1.0,28.408164711110782,1.0,751.2074928313784,27.408164711110782
2,covariateregistration,beta1100.0,seed3,2.0,28.38248091317526,1.0,749.8002609604075,27.38248091317526
3,covariateregistration,beta1100.0,seed3,3.0,28.389845498095013,1.0,750.2036364095156,27.389845498095013
4,covariateregistration,beta1100.0,seed3,4.0,28.4640832251429,1.0,754.2758673975757,27.4640832251429
5,covariateregistration,beta1100.0,seed3,5.0,28.51866145895245,1.0,757.276728492435,27.51866145895245
6,covariateregistration,beta1100.0,seed3,6.0,28.462812945826283,1.0,754.2060948974437,27.462812945826283
7,covariateregistration,beta1100.0,seed3,7.0,28.464564683085303,1.0,754.3023132313765,27.464564683085303
8,covariateregistration,beta1100.0,seed3,8.0,28.38981696513722,1.0,750.2020733837187,27.38981696513722
9,covariateregistration,beta1100.0,seed3,9.0,28.434940278563854,1.0,752.6759480883653,27.434940278563854
10,covariateregistration,beta1100.0,seed3,10.0,28.37050740613718,1.0,749.1446756694102,27.37050740613718
11,covariateregistration,beta1100.0,seed3,11.0,28.432425597167658,1.0,752.5379741441393,27.432425597167658
12,covariateregistration,beta1100.0,seed3,12.0,28.469314246680735,1.0,754.5632251828972,27.469314246680735
13,covariateregistration,beta1100.0,seed3,13.0,28.375407562455145,1.0,749.4129392105264,27.375407562455145
14,covariateregistration,beta1100.0,seed3,14.0,28.419484770301317,1.0,751.8281450687858,27.419484770301317
15,covariateregistration,beta1100.0,seed3,15.0,28.51324649646968,1.0,756.9787327755012,27.51324649646968
16,covariateregistration,beta1100.0,seed3,16.0,28.518731998918188,1.0,757.2806108282838,27.518731998918188
17,covariateregistration,beta1100.0,seed3,17.0,28.408209177251475,1.0,751.209930303972,27.408209177251475
18,covariateregistration,beta1100.0,seed3,18.0,28.474106582266575,1.0,754.8265324937436,27.474106582266575
19,covariateregistration,beta1100.0,seed3,19.0,28.541951187747355,1.0,758.5590752282579,27.541951187747355
20,covariateregistration,beta1100.0,seed3,20.0,28.42224459550275,1.0,751.9794986555798,27.42224459550275
21,covariateregistration,beta1100.0,seed3,21.0,28.430317142943395,1.0,752.4222985624542,27.430317142943395
22,covariateregistration,beta1100.0,seed3,22.0,28.384554705844973,1.0,749.9138364374161,27.384554705844973
23,covariateregistration,beta1100.0,seed3,23.0,28.460365934390968,1.0,754.0716972506599,27.460365934390968
24,covariateregistration,beta1100.0,seed3,24.0,28.439569316508813,1.0,752.9299642754919,27.439569316508813
25,covariateregistration,beta1100.0,seed6,0.0,28.426181661174883,1.0,752.1954405117655,27.426181661174883
26,covariateregistration,beta1100.0,seed6,1.0,28.47372373562434,1.0,754.8054959014082,27.47372373562434
27,covariateregistration,beta1100.0,seed6,2.0,28.443274176350016,1.0,753.1332975183196,27.443274176350016
